"Title: Population Distribution by Family Structure | KFF"
"Timeframe: 2010"
"Location","Adults with Children","Adults with No Children","Total",Footnotes
"United States","0.354","0.646","1.000","1"
"Alabama","0.341","0.659","1.000"
"Alaska","0.367","0.633","1.000"
"Arizona","0.360","0.640","1.000"
"Arkansas","0.350","0.650","1.000"
"California","0.361","0.639","1.000"
"Colorado","0.351","0.649","1.000"
"Connecticut","0.359","0.641","1.000"
"Delaware","0.344","0.656","1.000"
"District of Columbia","0.186","0.814","1.000"
"Florida","0.317","0.683","1.000"
"Georgia","0.362","0.638","1.000"
"Hawaii","0.316","0.684","1.000"
"Idaho","0.400","0.600","1.000"
"Illinois","0.361","0.640","1.000"
"Indiana","0.362","0.638","1.000"
"Iowa","0.374","0.626","1.000"
"Kansas","0.363","0.638","1.000"
"Kentucky","0.352","0.648","1.000"
"Louisiana","0.347","0.653","1.000"
"Maine","0.327","0.673","1.000"
"Maryland","0.350","0.650","1.000"
"Massachusetts","0.344","0.656","1.000"
"Michigan","0.351","0.649","1.000"
"Minnesota","0.368","0.632","1.000"
"Mississippi","0.361","0.639","1.000"
"Missouri","0.349","0.651","1.000"
"Montana","0.344","0.656","1.000"
"Nebraska","0.371","0.629","1.000"
"Nevada","0.346","0.654","1.000"
"New Hampshire","0.348","0.653","1.000"
"New Jersey","0.371","0.630","1.000"
"New Mexico","0.359","0.641","1.000"
"New York","0.336","0.664","1.000"
"North Carolina","0.354","0.646","1.000"
"North Dakota","0.350","0.650","1.000"
"Ohio","0.352","0.648","1.000"
"Oklahoma","0.367","0.633","1.000"
"Oregon","0.342","0.658","1.000"
"Pennsylvania","0.339","0.661","1.000"
"Rhode Island","0.324","0.676","1.000"
"South Carolina","0.336","0.664","1.000"
"South Dakota","0.368","0.632","1.000"
"Tennessee","0.342","0.658","1.000"
"Texas","0.389","0.611","1.000"
"Utah","0.449","0.551","1.000"
"Vermont","0.322","0.678","1.000"
"Virginia","0.347","0.653","1.000"
"Washington","0.348","0.652","1.000"
"West Virginia","0.318","0.682","1.000"
"Wisconsin","0.355","0.645","1.000"
"Wyoming","0.360","0.640","1.000"
"Puerto Rico","0.361","0.639","1.000"

"Notes"
"Among all nonelderly adults 19-64."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Adults With Children:* indicates all adults identified as parents of a child under 18 that currently live in a household with that child."


Footnotes
"1. US total excludes Puerto Rico."
