"Title: Population Distribution by Family Structure | KFF"
"Timeframe: 2018"
"Location","Adults with Children","Adults with No Children","Total",Footnotes
"United States","0.334","0.666","1.000","1"
"Alabama","0.323","0.677","1.000"
"Alaska","0.342","0.658","1.000"
"Arizona","0.343","0.657","1.000"
"Arkansas","0.355","0.645","1.000"
"California","0.328","0.672","1.000"
"Colorado","0.337","0.663","1.000"
"Connecticut","0.336","0.664","1.000"
"Delaware","0.305","0.695","1.000"
"District of Columbia","0.198","0.802","1.000"
"Florida","0.294","0.706","1.000"
"Georgia","0.340","0.660","1.000"
"Hawaii","0.323","0.677","1.000"
"Idaho","0.373","0.627","1.000"
"Illinois","0.340","0.660","1.000"
"Indiana","0.351","0.649","1.000"
"Iowa","0.364","0.636","1.000"
"Kansas","0.379","0.621","1.000"
"Kentucky","0.343","0.657","1.000"
"Louisiana","0.322","0.678","1.000"
"Maine","0.317","0.683","1.000"
"Maryland","0.332","0.668","1.000"
"Massachusetts","0.319","0.681","1.000"
"Michigan","0.328","0.672","1.000"
"Minnesota","0.351","0.650","1.000"
"Mississippi","0.339","0.661","1.000"
"Missouri","0.337","0.663","1.000"
"Montana","0.327","0.673","1.000"
"Nebraska","0.390","0.610","1.000"
"Nevada","0.313","0.687","1.000"
"New Hampshire","0.304","0.696","1.000"
"New Jersey","0.347","0.653","1.000"
"New Mexico","0.315","0.685","1.000"
"New York","0.309","0.691","1.000"
"North Carolina","0.339","0.662","1.000"
"North Dakota","0.345","0.655","1.000"
"Ohio","0.335","0.665","1.000"
"Oklahoma","0.369","0.631","1.000"
"Oregon","0.328","0.672","1.000"
"Pennsylvania","0.325","0.675","1.000"
"Rhode Island","0.301","0.699","1.000"
"South Carolina","0.315","0.685","1.000"
"South Dakota","0.359","0.641","1.000"
"Tennessee","0.332","0.668","1.000"
"Texas","0.365","0.635","1.000"
"Utah","0.416","0.584","1.000"
"Vermont","0.285","0.715","1.000"
"Virginia","0.337","0.663","1.000"
"Washington","0.338","0.662","1.000"
"West Virginia","0.321","0.679","1.000"
"Wisconsin","0.345","0.655","1.000"
"Wyoming","0.325","0.675","1.000"
"Puerto Rico","0.284","0.716","1.000"

"Notes"
"Among all nonelderly adults 19-64."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Adults With Children:* indicates all adults identified as parents of a child under 18 that currently live in a household with that child."


Footnotes
"1. US total excludes Puerto Rico."
